@id	name	@center	@lat	@lon	addr:city	addr:street	addr:housenumber	addr:postcode	opening_hours
291579710	Einhorn-Apotheke		54.3159864	10.1208626	Kiel	Kirchhofallee	63	24114	"Mo-Fr 08:30-18:00; Sa 08:30-13:00; Su,PH off"
291579969	Phönix-Apotheke		54.3158597	10.1269193	Kiel	Ringstraße	32	24103	"Mo,Tu,Th,Fr 09:00-13:00, Mo,Tu,Th 15:00-18:30, Fr 15:00-18:00, We 09:00-13:30"
291579980	Apotheke am ZOB		54.3165341	10.1326720	Kiel	Auguste-Viktoria-Straße	14	24103	"Mo,Tu,Th,Fr 08:30-18:00, We 08:30-14:00"
291580026	Friesen Apotheke		54.3223098	10.1212716		Kronshagener Weg	17		"Mo-Fr 08:30-13:30,14:30-18:30; Sa 09:00-14:00; Su,PH off"
291580066	Adler-Apotheke		54.3248283	10.1217444	Kiel	Jungfernstieg	37	24116	"Mo-Fr 08:00-18:30; We 08:00-18:00, Sa 08:00-13:00"
291686373	Medica-Apotheke		54.3201098	10.1263831	Kiel	Prüner Gang	15	24103	Mo-Fr 08:00-18:30; Sa 08:00-13:00
291918916	Herz Apotheke		54.3293131	10.1979182	Kiel	Schönkirchener Straße	80	24149	"Mo-Sa 08:00-20:00; PH,Su off"
292494996	Pinguin-Apotheke im Hochschulstadtteil		53.8316398	10.6907110					Mo-Fr 08:00-20:00; Sa 09:30-20:00
293040868	CITTI-PARK Apotheke Rüdel		54.3127700	10.0984348	Kiel	Mühlendamm	1	24113	"Mo-Sa 09:00-20:00; Su,PH off"
293235753	Germania Apotheke		54.3227322	10.1680172	Kiel	Schönberger Straße	165	24148	"Mo,Tu,Th,Fr 08:00-18:00; We 08:00-13:00; Sa 09:00-12:00; PH,Su off"
293379455	Löwen-Apotheke		54.6608154	9.9332545	Kappeln	Poststraße	2	24376	Mo-Tu 07:45-18:45; We 07:45-18:30; Th-Fr 07:45-18:45; Sa 09:00-13:30
293544072	Adler Apotheke		53.7301326	10.2685809	Bargteheide	Rathausstraße	33	22941	Mo-Fr 08:00-18:30; Sa 08:30-13:00; PH off
293632778	Elefanten-Apotheke am Klinikum		53.8416792	10.7088170					Mo-Fr 08:30-18:30; Sa 09:00-13:30
293971031	Stadt-Apotheke		53.8669358	10.6879648					"Mo, Tu, Th, Fr 08:30-19:00;We, Fr 08:30-18:30;Sa 09:30-14:00"
295240972	Brutkamp-Apotheke		54.1467420	9.2837971	Albersdorf	Bahnhofstraße	1	25767	"Mo-Fr 08:00-12:30,14:00-18:00; Sa 08:00-12:30"
295240973	Elisabeth-Apotheke		54.1465619	9.2851203	Albersdorf	Bahnhofstraße	6	25767	Mo-Fr 08:00-18:30; Sa 08:00-13:00
295392943	Apotheke Süderbrarup		54.6353162	9.7748616	Süderbrarup	Große Straße	22	24392	"Mo-Fr 08:00-13:00,14:00-18:30; Sa 08:00-12:30"
295427289	Anker-Apotheke		53.6818865	9.6696551	Uetersen	Großer Sand	52	25436	"Mo-Fr 08:00-12:30,14:00-18:30; We,Sa 08:00-12:30"
295607851	Elefanten Apotheke		53.8315096	10.6925095					Mo-Fr 08:30-18:00;Sa 09:00-13:00
296097119	Coppernicus-Apotheke		53.6840473	9.9851764	Norderstedt	Berliner Allee	34a	22850	Mo-Fr 08:30-19:00; Sa 09:00-18:00; PH off
296343017	Adler-Apotheke		53.8672894	10.6860340					Mo-Fr 08:30-18:00; Sa 09:00-15:00
296344953	Pinguin-Apotheke		53.8632027	10.6869340					Mo-Fr 08:00-18:00; Sa 10:00-14:00
296344956	galenus-Apotheke		53.8618129	10.6878120					"Mo,Tu,Th 08:00-19:00;We,Th 08:00-18:00;Sa 09:00-13:00"
297044405	Apotheke am Behnhaus		53.8699691	10.6892486	Lübeck	Königstraße	14	23552	Mo-Fr 08:00-18:00; Sa 09:00-13:30
297349106	Kisdorf Apotheke		53.8108300	10.0123902	Kisdorf	Dorfstraße	20	24629	
297643826	Einhorn Apotheke		53.8320115	10.4914710	Reinfeld	Raiffeisenpassage	22	23858	Mo-Fr 08:00-18:00; Sa 09:00-13:00
298274818	Apotheke im Plaza		54.3090788	10.1083026					Mo-Sa 08:00-20:00
298605916	Rantzau-Apotheke		53.7884689	9.7711980	Barmstedt	Küsterkamp	1	25355	"Mo-Fr 08:00-12:30,14:00-18:30; Sa 08:00-12:30"
298606272	Privilegierte Apotheke		53.7893007	9.7726961	Barmstedt	Reichenstraße	2	25355	"Mo-Fr 08:00-12:30,14:00-18:30; Sa 08:00-12:30"
299422580	Stanges Kur Apotheke		54.4043762	10.2244075	Laboe	Oberdorf	1a	24235	
299517165	Hubertus-Apotheke		54.2914202	10.8866890	Oldenburg in Holstein	Markt	2	23758	
302611962	Apotheke am Amtsgericht		54.2918917	10.9025122	Oldenburg in Holstein	Ostlandstraße	1	23758	Mo-Fr 08:30-18:30; Sa 08:30-12:30
304048861	Apotheke Dänischenhagen		54.4278788	10.1315459	Dänischenhagen	Scharnhagener Straße	6	24229	"Mo,Tu,Th 08:30-13:00,15:00-18:30; We 08:30-13:00; Fr 08:30-13:00,15:00-18:00; Sa 09:00-12:30"
304952734	Pluspunkt-Apotheke		53.6827934	9.6657669	Uetersen	Großer Sand	12	25436	Mo-Fr 08:00-19:00;Sa 08:00-14:00
304952745	Löwen-Apotheke		53.6838968	9.6643264	Uetersen	Großer Wulfhagen	50	25436	
307420099	Apotheke Rugenbergen		53.6645569	9.9054874	Bönningstedt	Am Markt	2	25474	"Mo-Fr 08:30-13:00,14:00-18:30; Sa 08:30-12:30"
308042658	Reuter Apotheke		53.6904449	9.6630736	Uetersen	Reuterstraße	32a	25436	Mo-Fr 08:00-18:00; Sa 08:00-12:00
309718353	Elefanten Apothekte		53.8715786	10.7467543					Mo-Sa 08:00-20:00
309823084	Klindwort Apotheke Rathausgasse		53.9188947	10.6965145	Bad Schwartau	Rathausgasse	2a	23611	"Mo,Tu,Th,Fr 08:00-18:30; We 08:00-18:00; Sa 08:00-13:00; PH off"
309832915	Mühlen-Apotheke		53.5419067	10.1662371	Oststeinbek	Möllner Landstraße	28	22113	Mo-Fr 08:30-18:30; Sa 08:30-13:00; PH off
312744559	Guten Tag Apotheke		53.5473202	10.1532539	Oststeinbek	Willinghusener Weg	1	22113	Mo-Sa 08:00-20:00; PH off
315008548	Flottkamp-Apotheke		53.8319339	9.9499143	Kaltenkirchen	Flottkamp	124	24568	
316012314	Hirsch-Apotheke		54.4098585	9.9765701	Gettorf	Herrenstraße	8	24214	"Mo-Fr 08:00-13:45,15:00-19:00;PH off"
316041750	Anker-Apotheke		54.3242617	10.1148328		Kronshagener Weg	59		"Mo-Fr 08:00-18:00; Sa 08:00-13:00; PH closed; 2020 May 1 Fr 08:00-24:00 open ""Notdienst""; 2020 May 2 Sa 00:00-08:00 open ""Notdienst"""
316178016	Stern-Apotheke		53.8590643	10.6713485					Mo-Fr 08:30-18:00; Sa 08:30-13:00
316420428	Paracelsus Apotheke		53.8398837	10.6308776					Mo-Fr 07:30-19:00;Sa 08:30-13:00
317258564	Kahlhorst-Apotheke		53.8497543	10.6985306					Mo-Fr 08:00-18:30; Sa 08:30-13:00
317259088	Buddenbrook-Apotheke		53.8750433	10.7084863	Lübeck	Heiligen-Geist-Kamp	4	23568	"Mo-Fr 08:00-18:30; Sa 08:30-13:00; Su,PH off"
318023662	Sankt Gertrud-Apotheke		53.8757243	10.7012768					"Mo,Tu,Th,Fr 08:00-18:30; We 08:00-18:00; Sa 08:00-13:00"
318236823	Moltke-Apotheke		53.8628060	10.6982633					"Mo-Fr 08:00-13:30,14:30-18:30;Sa 08:30-13:00"
318909221	Apotheke am Strand		53.9972305	10.7832781					
321315869	Staggenborg Apotheke am Koppeldamm		53.7660157	9.6672170	Elmshorn	Koppeldamm	27b	25335	Mo-Sa 08:00-20:00
321419623	Kreuz-Apotheke		54.7814392	9.4766845	Flensburg	Taruper Hauptstraße	55	24943	"PH,Su off; Mo-Fr 08:00-18:00; Sa 09:00-12:00"
321901855	Voss Apotheke		54.1361109	10.6135339	Eutin	Peterstraße	30	23701	
323158886	Ritter-Apotheke		54.6924740	9.6040104	Mittelangeln	Glücksburger Straße	1	24986	"Mo,Tu,Th 07:45-20:00; We,Fr 07:45-18:30; Sa 07:45-13:00"
325953922	Lilien Apotheke		53.8862299	10.6501548					Mo-Su 08:00-18:00;Sa 08:00-13:00
325954621	Lilien.Apotheke am Rathaus		53.8881981	10.6507025					"Mo,Tu,Th 08:00-18:30; We,Fr 08:00-18:00; Sa 08:00-13:00"
325956305	Lübbers Apotheke am Rathausmarkt		53.8870387	10.6498892					
326916026	Spitzweg Apotheke		53.8091052	10.3684324					
332649240	Apotheke im Plaza Center		53.4353507	10.3720087	Geesthacht	Norderstraße	16	21502	Mo-Fr 08:00-20:00; Sa 08:00-19:00; PH off
335543671	Anker-Apotheke		54.1313449	8.8557968	Büsum	Westerstraße	30	25761	Nov-Mar: Mo-Fr 08:00-18:30; Sa 08:00-12:30; Apr-Oct: Mo-Fr 08:00-18:30; Sa 08:00-18:00
335675539	Albert-Schweitzer-Apotheke		53.9480168	9.5047151	Itzehoe	Albert-Schweitzer-Ring	26g	25524	Mo-Fr 08:00-13:00; Mo-Tu 14:30-18:30; We 14:30-18:00; Th 14:30-18:30; Fr 14:30-18:00; Sa 08:30-12:30
